# Traits in Affinity,weapon,# Traits,body,rune,% Traits in Affinity,Affinity,background,head,companion,shield,token_id,numTraits,image,name
3,Goblin Sword,5,Commando Fatigues,Rune of Omega,60 percent,Darkness,Red,Rocket Helm,Golden Jaguar,,499,10,https://portal.forgottenrunes.com/api/warriors/img/499,Denali Bifurcator of the Battlefront
4,Red Longsword,6,Red One Piece,Rune of Down,66 percent,Crimson,Red,Spring Warrior,Hyena,Red Aspis,500,11,https://portal.forgottenrunes.com/api/warriors/img/500,Devon Sword of the Ridge
3,Ishtar Sword,5,Green Road Spandex,Rune of Earth,60 percent,Gladiator,Red,Lady of the Oasis,Night Wolf,,501,10,https://portal.forgottenrunes.com/api/warriors/img/501,Maya Annihilator of Imps
3,Bottle of Goblin Beer,6,Green Hedge Knight Armor,Rune of Mercury,50 percent,Rugged,Black,Forgotten Man,Wild Eagle,Shield of the Moon,502,11,https://portal.forgottenrunes.com/api/warriors/img/502,Hendrix of the Wood
4,East Side Pipe Wrench,6,Red Knight,Rune of Protection,66 percent,Crimson,Red,Flower of the Wheel,Old World Mandrill,Eternal Love Shield,503,11,https://portal.forgottenrunes.com/api/warriors/img/503,Saumya Beater of Beasts
4,Stratiotai Spear,6,Prism Armor,Rune of Fire,66 percent,Knight,Black,Action Man,Onyx Panther,Air Elemental Shield,504,11,https://portal.forgottenrunes.com/api/warriors/img/504,Diesel Paragon of Runes
3,Mace,5,Pirate Garb,Rune of Air,60 percent,Armor,Black,Lady of the Mountain,,Shield of Down Only,505,10,https://portal.forgottenrunes.com/api/warriors/img/505,Agnes Belligerent of the Atoll
3,Chakram,6,South Woodland Cloak,Rune of Brimstone,50 percent,Darkness,Green,Corsair,Spectacled Falcon,Shield of the Sun,506,11,https://portal.forgottenrunes.com/api/warriors/img/506,Sherry Ranger of the North
3,Journeyman Falchion,6,Goblin Toga,Rune of Water,50 percent,Medieval,Black,Goblin,Wild Eagle,Guardian Shield,507,11,https://portal.forgottenrunes.com/api/warriors/img/507,Fredric Striker of the Horde
3,Mace,4,Tower Plate Armor,,75 percent,Medieval,Blue,Macho Man,,Gold Herald Shield,508,9,https://portal.forgottenrunes.com/api/warriors/img/508,Charles Clobberer of Brigands
5,Blue Longsword,6,Yellow Provocator Garb,Rune of Cinnabar,83 percent,Blue Shift,Blue,Shutter Knight,Attack Drone,Blue Buckler,509,11,https://portal.forgottenrunes.com/api/warriors/img/509,Largo Despoiler of the Obelisk
2,Partisan,4,Surd Armor,,50 percent,Grey,Black,Bambam,,White Holy Shield,510,9,https://portal.forgottenrunes.com/api/warriors/img/510,Lucy Impaler of the Villa
4,Partisan,5,Glory Knight,Rune of Air,80 percent,Rugged,Blue,Polar Man,,Might Shield,511,10,https://portal.forgottenrunes.com/api/warriors/img/511,Emerson Champion of all that is Evil
3,Yellow Chainsaw,5,Superalloy Bot,Rune of Air,60 percent,Cyber,Blue,BucketHead: Atomic 26,Wild Eagle,,512,10,https://portal.forgottenrunes.com/api/warriors/img/512,Number 6 Horror of X
5,Spiked Ball and Chain,6,Battle Bikini,Rune of Brass,83 percent,Armor,Black,Xanthe,Gigas Hornet,Air Elemental Shield,513,11,https://portal.forgottenrunes.com/api/warriors/img/513,Alyssia Flagellator of the Ridge
5,Blue Broadsword,6,Guardian Zero,Rune of Lime,83 percent,Gladiator,Blue,Corsair,Field Hound,Water Elemental Shield,514,11,https://portal.forgottenrunes.com/api/warriors/img/514,Eon Cleaver of Robots
4,Katana,6,Armor of Water,Rune of Uranus,66 percent,Armor,Blue,Jarl Raider,Rattlesnake,Brown Kite,515,11,https://portal.forgottenrunes.com/api/warriors/img/515,Shaw Wounder of Dragons
3,Shortbow,6,Majestic Epic Gear,Rune of Cinnabar,50 percent,Verdant,Green,Green Knight Helm,Dirt Pig,Gold Holy Shield,516,11,https://portal.forgottenrunes.com/api/warriors/img/516,Ralph Champion of the Jungle
4,Scimitar,4,Red Battle Bikini,,100 percent,Armor,Blue,Avalonian,,Snake Shield,517,9,https://portal.forgottenrunes.com/api/warriors/img/517,Shira Lacerator of the Sun
3,Stratiotai Spear,6,Blue Hedge Knight Armor,Rune of Pluto,50 percent,Grey,Blue,Metabot,Robo Dog,Butterfly Shield,518,11,https://portal.forgottenrunes.com/api/warriors/img/518,Metron Protector of Goblins
4,Lavender Double Blade,5,Purple Road Warrior,Rune of Sigma,80 percent,Purple Haze,Purple,Purple Viking Helm,Null Goat,,519,10,https://portal.forgottenrunes.com/api/warriors/img/519,Bonnard Calamity of the Back Alley
3,Stratiotai Spear,4,Gold Belt Ruffian,Rune of Uranus,75 percent,Gold,Black,Happy Viking,,,520,9,https://portal.forgottenrunes.com/api/warriors/img/520,Boarhead Defeater of Imps
4,Tuck,5,Classic Leather Barbarian Briefs,Rune of Air,80 percent,Gold,Green,Forgotten Man,,Shield of the Moon,521,10,https://portal.forgottenrunes.com/api/warriors/img/521,Tad Thief of the Pavillion
4,Butcher Knife,6,Aura Knight with Blue Cloak,Rune of Saturn,66 percent,Blue Shift,Blue,Action Man,Ultramarine Rhinoceros Beetle,Water Elemental Shield,522,11,https://portal.forgottenrunes.com/api/warriors/img/522,Miles Maimer of the Rune Raiders
4,Spiked Ball and Chain,5,Red Provocator Garb,Rune of Jupiter,80 percent,Heavy,Blue,Templar,,Green Aspis,523,10,https://portal.forgottenrunes.com/api/warriors/img/523,William Basher of the Coliseum
4,Battle Axe,4,Tower Plate Armor,,100 percent,Armor,Blue,Cool Guy,,Wooden Buckler,524,9,https://portal.forgottenrunes.com/api/warriors/img/524,Alexander Eidolon of the Forest
4,Butcher Knife,6,Yellow Provocator Garb,Rune of Brimstone,66 percent,Blue Shift,Blue,Mountain Warrior,Ultramarine Rhinoceros Beetle,Water Elemental Shield,525,11,https://portal.forgottenrunes.com/api/warriors/img/525,Archer Ass Kicker of the Desert
4,Giant Cleaver,5,Nord Armor,,80 percent,Armor,Blue,Hibernian,Mutant Snapping Turtle,Shield of Up Only,526,10,https://portal.forgottenrunes.com/api/warriors/img/526,Millicent Armageddon of the Coliseum
4,Spetum,6,Blue Tunic Armor,Rune of Pluto,66 percent,Armor,Blue,Jarl Raider,Mutant Snapping Turtle,Triple Triangle Shield,527,11,https://portal.forgottenrunes.com/api/warriors/img/527,Duke Eidolon of Rogues
4,Silver Dragon Pike,5,Street Punk with Violet Camo,Rune of Protection,80 percent,Purple Haze,Purple,Psyche Warrior,Null Goat,,528,10,https://portal.forgottenrunes.com/api/warriors/img/528,Blake Ruin of the Road
3,Battle Axe,4,Armor of Fire,,75 percent,Guard,Blue,Yellow Viking Helm,,Red Kite,529,9,https://portal.forgottenrunes.com/api/warriors/img/529,Tildor Cataclysm of Rats
3,Master Claymore,4,Surd Armor,,75 percent,Guard,Black,Vedic Warrior,,Shield of Up Only,530,9,https://portal.forgottenrunes.com/api/warriors/img/530,Laasya Eliminator of the Trail
2,Gladiator Sword,5,Purple Tunic Armor,Rune of Earth,40 percent,Desert,Black,Desert Warrior,,Shield of Balance,531,10,https://portal.forgottenrunes.com/api/warriors/img/531,Achmed Calamity of the Grass
5,Trident,6,Divine Battle Garment,Rune of Up,83 percent,Crimson,Red,Flower of the Wheel,Crimson Jaguar,Red Herald Shield,532,11,https://portal.forgottenrunes.com/api/warriors/img/532,Misha Champion of Xanadu
3,Chakram,4,Surd Armor,,75 percent,Guard,Black,Moorish Girl,,Mercenary Heater Shield,533,9,https://portal.forgottenrunes.com/api/warriors/img/533,Frankie Vengeance of Glory
4,Wooden Hammer,5,Divine Battle Garment,Rune of Cinnabar,80 percent,Gold,Blue,Forgotten Lady,,Frog Shield,534,10,https://portal.forgottenrunes.com/api/warriors/img/534,Rufaro Demolisher of the Sun
4,,5,Brown Hedge Knight Armor,Rune of Neptune,80 percent,Brownish,Green,Grizzly Man,Spectacled Falcon,Brown Kite,535,10,https://portal.forgottenrunes.com/api/warriors/img/535,Magnus Champion of the Grass
4,Red Longsword,6,Blue Tunic Armor,Rune of Fire,66 percent,Blue Shift,Blue,Blue Knight Helm,Rattlesnake,Water Elemental Shield,536,11,https://portal.forgottenrunes.com/api/warriors/img/536,Romney Ruin or Scalawags
2,,4,Commando Fatigues,Rune of Lime,50 percent,Rugged,Green,Polar Man,Field Hound,,537,9,https://portal.forgottenrunes.com/api/warriors/img/537,Vidal Killer of Lizards
4,Sabre,6,North Woodland Cloak,Rune of Fire,66 percent,Brownish,Black,Bonnie Lass,Northern Lynx,Might Shield,538,11,https://portal.forgottenrunes.com/api/warriors/img/538,Shelia Hero of the Trees
3,Katana,4,Street Punk with Brown Camo,Rune of Mercury,75 percent,Gold,Black,Desert Warrior,,,539,9,https://portal.forgottenrunes.com/api/warriors/img/539,Talal Sword of the Street
3,Blue Broadsword,6,Northern Barbarian,Rune of Fire,50 percent,Rugged,Black,Summer Warrior,Hyena,Might Shield,540,11,https://portal.forgottenrunes.com/api/warriors/img/540,Valerie Shaver of the Berg
3,Bo Staff,4,Red Hedge Knight Armor,,75 percent,Rugged,Black,Forgotten Man,,Purple Kite,541,9,https://portal.forgottenrunes.com/api/warriors/img/541,Enzo Vanquisher of Glory
5,Trident,6,Armor of Water,Rune of Venus,83 percent,Crimson,Red,Jungle Commando,Crimson Jaguar,Red Aspis,542,11,https://portal.forgottenrunes.com/api/warriors/img/542,Draco Paragon of the Wild
3,Titan Cleaver,6,Divine Battle Garment,Rune of Brimstone,50 percent,Crimson,Red,Summer Warrior,Hamadryas Baboon,Eternal Love Shield,543,11,https://portal.forgottenrunes.com/api/warriors/img/543,Cassia Nullifier of Tigers
2,,3,Yellow Road Spandex,,66 percent,Feminine,Black,Styxian,,Magic Shield,544,8,https://portal.forgottenrunes.com/api/warriors/img/544,Zula Piercer of the Citadel
3,Bottle of Goblin Beer,5,Orange Road Warrior,Rune of Neptune,60 percent,Wild,Blue,Weirdling,Hyena,,545,10,https://portal.forgottenrunes.com/api/warriors/img/545,Rockford of the Road
3,Stratiotai Spear,4,Gallus Gear,,75 percent,Gladiator,Black,Macho Man,,Iron Buckler,546,9,https://portal.forgottenrunes.com/api/warriors/img/546,Ryder Champion of the Pavillion
4,Estoc,6,Green Provocator Garb,Rune of Brass,66 percent,Armor,Green,Contender Helm,Dirt Pig,Red Aspis,547,11,https://portal.forgottenrunes.com/api/warriors/img/547,Radna Wanderer of the Cockatrice
2,,3,Brown Tunic Armor,,66 percent,Medieval,Blue,Shaolin,,Tanker Heater Shield,548,8,https://portal.forgottenrunes.com/api/warriors/img/548,Max Bifurcator of Dragons
3,Blue Longsword,6,Traveller's Cloak Blue,Rune of Venus,50 percent,Blue Shift,Blue,Legionnaire Helmet,Hyena,Blue Buckler,549,11,https://portal.forgottenrunes.com/api/warriors/img/549,Lars Carver of the Riverlands
4,Green Longsword,6,Gallus Gear,Rune of Power,66 percent,Rugged,Green,Jungle Commando,Wild Eagle,Green Kite,550,11,https://portal.forgottenrunes.com/api/warriors/img/550,Clubber Stabber of the Obelisk
3,,3,Gladiator's Cloak with Purple Briefs,,100 percent,Armor,Black,Mountain Warrior,,Red Herald Shield,551,8,https://portal.forgottenrunes.com/api/warriors/img/551,Grimmold Blade of Mount Titan
4,Longbow,6,Banded Armor of the Ether,Rune of Earth,66 percent,Rugged,Black,Highlander,Woodland Wolverine,Shield of the Black Goat,552,11,https://portal.forgottenrunes.com/api/warriors/img/552,Rockford Robber of the Valley
3,Jade Sword,5,Street Punk with Violet Camo,Rune of Pluto,60 percent,Wild,Black,Hibernian,Northern Lynx,,553,10,https://portal.forgottenrunes.com/api/warriors/img/553,Casey Eradicator of the Back Alley
4,Spiked Ball bat,5,Yellow Wrestling Singlet,Rune of Steel,80 percent,Muscle,Blue,Jungle Commando,Field Hound,,554,10,https://portal.forgottenrunes.com/api/warriors/img/554,Sylvester Crusher of Concrete
4,Malachite Cleaver,5,Yellow Wrestling Singlet,Rune of Venus,80 percent,Muscle,Green,Mescaline Warrior,Wild Eagle,,555,10,https://portal.forgottenrunes.com/api/warriors/img/555,Nick Assailant of the Ring
5,Guardian Sword,6,Armor of Water,Rune of Mars,83 percent,Armor,Red,Praetorian,Woodland Wolverine,Red Herald Shield,556,11,https://portal.forgottenrunes.com/api/warriors/img/556,Romulus Dicer of the Trail
4,Longbow,6,Green Hedge Knight Armor,Rune of Brimstone,66 percent,Jungle,Black,Forgotten Man,Dirt Pig,Green Buckler,557,11,https://portal.forgottenrunes.com/api/warriors/img/557,Asper Scalawag of the Mountain
3,Rapier,6,Gold Lamellar,Rune of Air,50 percent,Knight,Black,Stunt Man,Rattlesnake,Brown Kite,558,11,https://portal.forgottenrunes.com/api/warriors/img/558,Donley Villain of Bugbears
3,White Longsword,6,Desert Wear,Rune of Earth,50 percent,Medieval,Blue,Mandinka,Golden Jaguar,Yellow Buckler,559,11,https://portal.forgottenrunes.com/api/warriors/img/559,Cannon Annihilator of the Sun
4,Jungle Boomerang,6,Alchemist Armor,Rune of Water,66 percent,Blue Shift,Blue,Dream Knight,Battle Penguin,Blue Kite,560,11,https://portal.forgottenrunes.com/api/warriors/img/560,Dain Rascal of Glory
3,Purple Longsword,5,Street Punk with Brown Camo,Rune of Earth,60 percent,Rugged,Black,Basic Bro,Wild Eagle,,561,10,https://portal.forgottenrunes.com/api/warriors/img/561,Bane Hellraiser of the Road
4,Jungle Boomerang,5,Blue Boxing Shorts,Rune of Brass,80 percent,Blue Shift,Blue,Blue Knight Helm,Man o' War,,562,10,https://portal.forgottenrunes.com/api/warriors/img/562,Roddrick Rascal of Concrete
4,Lazurite Dragon Sword,6,Yellow Provocator Garb,Rune of Down,66 percent,Brute,Black,Grappler Giant,Onyx Panther,Shield of Up Only,563,11,https://portal.forgottenrunes.com/api/warriors/img/563,Benedict Ruin of the Cockatrice
3,Red Shortsword,4,Classic Leather Barbarian Bikini,,75 percent,Feminine,Blue,Kelt,,Iron Buckler,564,9,https://portal.forgottenrunes.com/api/warriors/img/564,Adele Cutter of the Sun
4,Brown Longsword,5,Purple Tunic Armor,Rune of Fire,80 percent,Knight,Blue,Cool Guy,,Mercenary Heater Shield,565,10,https://portal.forgottenrunes.com/api/warriors/img/565,Matthew Savior of Titans
4,Red Shortsword,6,Purple Knight,Rune of Venus,66 percent,Feminine,Blue,Divanae,Gigas Hornet,Bolt Shield,566,11,https://portal.forgottenrunes.com/api/warriors/img/566,Zora Killer of the Mountain
4,Red Shortsword,6,Brown Tunic Armor,Rune of Brass,66 percent,Armor,Black,Basic Bro,Wild Eagle,Triple Triangle Shield,567,11,https://portal.forgottenrunes.com/api/warriors/img/567,Jett Despoiler of Wizards
4,Longbow,6,Red Amazonian Jumpsuit,Rune of Venus,66 percent,Jungle,Purple,Daughter of the Brine,Greater Cassowary,Tanker Heater Shield,568,11,https://portal.forgottenrunes.com/api/warriors/img/568,Maud Stalker of the Grass
4,Giant Cleaver,4,Auric Spike Armor,,100 percent,Heavy,Black,Praetorian,,Tomb Shield,569,9,https://portal.forgottenrunes.com/api/warriors/img/569,Cossus Antagonist of Atlantis
4,Iron Hammer,6,Surd Armor,Rune of Steel,66 percent,Armor,Black,Vedic Warrior,Field Hound,Tate Shield,570,11,https://portal.forgottenrunes.com/api/warriors/img/570,Zara Basher of the Sun
5,Giant Cleaver,5,Traveller's Cloak Yellow,,100 percent,Purple Haze,Purple,Bruiser,Orchid Rhinoceros Beetle,Yellow Kite,571,10,https://portal.forgottenrunes.com/api/warriors/img/571,Donley Render of Worlds
4,Scimitar,5,Red Macho Pants,Rune of Brass,80 percent,Armor,Blue,Forgotten Man,,Wooden Buckler,572,10,https://portal.forgottenrunes.com/api/warriors/img/572,Lorcan Cleaver of the Valley
4,Jade Sword,5,Armor of Earth,,80 percent,Verdant,Green,Marsh Girl,Attack Drone,Green Kite,573,10,https://portal.forgottenrunes.com/api/warriors/img/573,Luisa Chopper of Rats
5,Firebrand,6,Red Battle Bikini,Rune of Sun,83 percent,Crimson,Red,Spring Warrior,Scarlet Swine,Tanker Heater Shield,574,11,https://portal.forgottenrunes.com/api/warriors/img/574,Camilla Antagonist of Rats
5,Ishtar Sword,5,Aura Knight with Red Cloak,,100 percent,Crimson,Red,Stratiotai,Gigas Hornet,Red Herald Shield,575,10,https://portal.forgottenrunes.com/api/warriors/img/575,Tariq Assaulter of the Arena
3,Aurelian Double Blade,5,North Island MMA Pants,Rune of Water,60 percent,White Magic,Black,Mountain Warrior,Wild Eagle,,576,10,https://portal.forgottenrunes.com/api/warriors/img/576,Farol Champion of the Arena
4,Red Shortsword,6,Blue Valkyrie Armor,Rune of Sun,66 percent,Armor,Blue,Hibernian,Woodland Wolverine,Shield of Down Only,577,11,https://portal.forgottenrunes.com/api/warriors/img/577,Marci Eidolon of Honor Mountain
4,Malachite Dragon Pike,6,Terrapin Armor,Rune of Earth,66 percent,Medieval,Green,Summer Warrior,Golden Jaguar,Air Elemental Shield,578,11,https://portal.forgottenrunes.com/api/warriors/img/578,Alyssia Champion of Turtles
3,Pantheon Spear,5,Street Punk with Brown Camo,Rune of Earth,60 percent,Rugged,Green,Action Hero,Gigas Hornet,,579,10,https://portal.forgottenrunes.com/api/warriors/img/579,Nigel Impaler of the Road
3,Gladius,4,Fur Barbarian,,75 percent,Brute,Blue,Macho Man,,Iron Buckler,580,9,https://portal.forgottenrunes.com/api/warriors/img/580,Butch Razer of the Rock
3,Aurelian Double Blade,4,Argyropoeia Bot,Rune of Mercury,75 percent,Gold,Blue,Metabot,,,581,9,https://portal.forgottenrunes.com/api/warriors/img/581,Dyna Dicer of Machines
3,Sabre,6,Classic Gold Barbarian Briefs,Rune of Jupiter,50 percent,Brownish,Black,Chad Bro,Hyena,Red Aspis,582,11,https://portal.forgottenrunes.com/api/warriors/img/582,Umberto Dissector of the Rock
2,Tuck,3,Red Suit,,66 percent,Armor,Black,Brownlander,,,583,8,https://portal.forgottenrunes.com/api/warriors/img/583,Magnus Protector of the Berg
5,Jungle Boomerang,6,West Woodland Cloak,Rune of Neptune,83 percent,Forest,Black,Forgotten Lady,Dirt Pig,Wooden Shield,584,11,https://portal.forgottenrunes.com/api/warriors/img/584,Ria Lightbearer of Flowers
3,Longbow,5,Xanthous Paladin Gear,Rune of Earth,60 percent,Amber,Black,Imperial Helmet,,Bolt Shield,585,10,https://portal.forgottenrunes.com/api/warriors/img/585,Remus Rogue of Brigands
3,Blue Broadsword,5,Superalloy Bot,Rune of Lime,60 percent,Blue Shift,Blue,BucketHead: Atomic 26,Northern Lynx,,586,10,https://portal.forgottenrunes.com/api/warriors/img/586,Quant Sword of Robots
3,Malachite Dragon Pike,5,Cyborg Body,Rune of Fire,60 percent,Verdant,Green,Gold Dwarven Helm,Scarlet Swine,,587,10,https://portal.forgottenrunes.com/api/warriors/img/587,Glorf Blade of Robots
3,Gladiator Sword,6,Gallus Gear,Rune of Cinnabar,50 percent,Darkness,Black,Mandinka,Wild Eagle,Red Kite,588,11,https://portal.forgottenrunes.com/api/warriors/img/588,Dexter Belligerent of the Obelisk
4,Jungle Boomerang,6,Terrapin Armor,Rune of Uranus,66 percent,Rugged,Green,Jungle Commando,Gigas Hornet,Might Shield,589,11,https://portal.forgottenrunes.com/api/warriors/img/589,Thorne Rogue of Turtles
5,Purple Longsword,6,Yellow Road Spandex,Rune of Earth,83 percent,Purple Haze,Purple,Corsair,Null Goat,Purple Kite,590,11,https://portal.forgottenrunes.com/api/warriors/img/590,Myla Death of Wizards
2,Longbow,4,North Island MMA Pants,Rune of Mercury,50 percent,Darkness,Black,Frankish Helm,,,591,9,https://portal.forgottenrunes.com/api/warriors/img/591,Neil Hero of the Fist
3,Aurelian Double Blade,5,Red Boxing Shorts,Rune of Pluto,60 percent,Darkness,Blue,Meriotic Warrior,Northern Lynx,,592,10,https://portal.forgottenrunes.com/api/warriors/img/592,Dakarai Protector of Tigers
4,Master Claymore,6,Sapphire Paladin Gear,Rune of Sun,66 percent,Medieval,Blue,Forgotten Man,Wild Eagle,Frog Shield,593,11,https://portal.forgottenrunes.com/api/warriors/img/593,Murdock Armageddon of all that is Holy
3,Red Shortsword,5,Yellow Road Spandex,Rune of Earth,60 percent,Feminine,Black,Xanthe,,White Holy Shield,594,10,https://portal.forgottenrunes.com/api/warriors/img/594,Adele Menace of the Road
4,Jungle Boomerang,6,Goblin Toga,Rune of Cinnabar,66 percent,Rugged,Green,Capped Goblin,Sand Cobra,White Kite,595,11,https://portal.forgottenrunes.com/api/warriors/img/595,Shurgz Paragon of Goblin Town
4,Agapanthus Fey Sword,6,Aura Knight with Blue Cloak,Rune of Down,66 percent,Blue Shift,Blue,Olympian,Ultramarine Rhinoceros Beetle,Blue Kite,596,11,https://portal.forgottenrunes.com/api/warriors/img/596,Stormand Terror of Destiny
3,Battle Axe,5,Auric Spike Armor,Rune of Earth,60 percent,Gladiator,Black,Red Bearded Berserker,,Frog Shield,597,10,https://portal.forgottenrunes.com/api/warriors/img/597,Urmgurn Ruin of the Baobabs
3,Estoc,5,Battle Sari,Rune of Water,60 percent,Feminine,Blue,Vedic Warrior,,Tanker Heater Shield,598,10,https://portal.forgottenrunes.com/api/warriors/img/598,Zoya Eidolon of the Sun
4,Golden Sword,5,Street Punk with Brown Camo,Rune of Air,80 percent,Muscle,Black,Wrestler Giant,Onyx Panther,,599,10,https://portal.forgottenrunes.com/api/warriors/img/599,Ragnar Armageddon of the Duck Alliance
3,Shortbow,6,Green Provocator Garb,Rune of Water,50 percent,Verdant,Green,Jungle Commando,Attack Drone,Tanker Heater Shield,600,11,https://portal.forgottenrunes.com/api/warriors/img/600,Willy Eradicator of the Valley
3,Journeyman Falchion,5,Red Amazonian Jumpsuit,Rune of Saturn,60 percent,Armor,Blue,Lady of the Mountain,,Magic Shield,601,10,https://portal.forgottenrunes.com/api/warriors/img/601,Agnes Cleaver of the Trail
3,Master Claymore,4,Gladiator's Cloak with Olive Briefs,,75 percent,Muscle,Blue,Basic Bro,,Bolt Shield,602,9,https://portal.forgottenrunes.com/api/warriors/img/602,Nova Calamity of the Arena
3,Rapier,4,Battle Bikini,,75 percent,Feminine,Blue,Divanae,,Green Aspis,603,9,https://portal.forgottenrunes.com/api/warriors/img/603,Ayana Menace of Flowers
3,Malachite Cleaver,6,Green Road Spandex,Rune of Fire,50 percent,Medieval,Green,Bambam,Wild Eagle,Wolf Shield,604,11,https://portal.forgottenrunes.com/api/warriors/img/604,Sherry Stormer of the Citadel
3,Battle Axe,5,Classic Gold Barbarian Bikini,Rune of Earth,60 percent,Armor,Black,Xanthe,,Fire Shield,605,10,https://portal.forgottenrunes.com/api/warriors/img/605,Alex Wounder of the Sun
5,Blood Sword,6,Dominion Plate Armor,Rune of Uranus,83 percent,Darkness,Black,Blood Horn Helm,Grey Wolf,Red Kite,606,11,https://portal.forgottenrunes.com/api/warriors/img/606,Typhon Annihilator of Ruffians
3,Plains Boomerang,5,Cyborg Body,Rune of Earth,60 percent,Rugged,Purple,Bruiser,Battle Penguin,,607,10,https://portal.forgottenrunes.com/api/warriors/img/607,Chuck Shark of Runes
3,Journeyman Falchion,4,Brown Knight,,75 percent,Guard,Blue,Abyssinian,,White Kite,608,9,https://portal.forgottenrunes.com/api/warriors/img/608,Sekai Razer of Nothing
4,Malachite Cleaver,6,Banded Armor of the Forest,Rune of Neptune,66 percent,Rugged,Green,Zimbala,Wild Eagle,Wooden Shield,609,11,https://portal.forgottenrunes.com/api/warriors/img/609,Winchester Executor of Flowers
4,Skull Spear,6,Athenian Robe,Rune of Neptune,66 percent,Gladiator,Black,Spring Warrior,Onyx Panther,Shield of Up Only,610,11,https://portal.forgottenrunes.com/api/warriors/img/610,Wilda Protector of Light
3,Silver Poleaxe,5,Street Punk with Green Camo,Rune of Brass,60 percent,Armor,Blue,Jarl Raider,Rattlesnake,,611,10,https://portal.forgottenrunes.com/api/warriors/img/611,Ryder Guardian of Wizards
3,Green Longsword,6,Iron Knight of the Hills,Rune of Lime,50 percent,Verdant,Green,Jungle Commando,Rattlesnake,Mercenary Heater Shield,612,11,https://portal.forgottenrunes.com/api/warriors/img/612,Kojak Trimmer of Thunder Mountain
3,Lavender Double Blade,6,Goblin Toga,Rune of Venus,50 percent,Rugged,Green,Goblin,Rattlesnake,Mercenary Heater Shield,613,11,https://portal.forgottenrunes.com/api/warriors/img/613,Orga Dispatcher of Nasty Town
3,Shortbow,6,Green Provocator Garb,Rune of Earth,50 percent,Verdant,Green,Strongman,Spectacled Falcon,Shield of the Skull,614,11,https://portal.forgottenrunes.com/api/warriors/img/614,Rockford Mischief Maker of the Savannah
3,Goblin Sword,6,Omega Plate Armor,Rune of Earth,50 percent,Medieval,Red,Fungus,Buffkin,Water Elemental Shield,615,11,https://portal.forgottenrunes.com/api/warriors/img/615,Hedgie Marauder of Liches
3,Blue Shortsword,5,Alabaster Paladin Gear,Rune of Brimstone,60 percent,Knight,Black,Stratiotai,,Green Buckler,616,10,https://portal.forgottenrunes.com/api/warriors/img/616,Urash Cleaver of Snakes
5,Wratchet,6,Green Road Spandex,Rune of Mars,83 percent,Machine,Green,Forgotten Lady,Robo Dog,Guardian Shield,617,11,https://portal.forgottenrunes.com/api/warriors/img/617,Agnes Liquidator of the Street
4,Katana,6,Yellow One Piece,Rune of Steel,66 percent,Armor,Green,Marsh Girl,Rattlesnake,Shield of Down Only,618,11,https://portal.forgottenrunes.com/api/warriors/img/618,Juno Chisler of the Wild
2,Bo Staff,4,Fur Barbarian,,50 percent,Grey,Black,Contender Helm,,Butterfly Shield,619,9,https://portal.forgottenrunes.com/api/warriors/img/619,Eligor Crumbler of the Snow
3,Ranseur,6,Kobold Grunt Gear,Rune of Mercury,50 percent,Blackness,Black,Kobold Captain,Night Wolf,Shield of the Moon,620,11,https://portal.forgottenrunes.com/api/warriors/img/620,Dingus Guardian of the Capital
3,,3,Yellow Tunic Armor,,100 percent,Amber,Black,Forgotten Man,,Mercenary Heater Shield,621,8,https://portal.forgottenrunes.com/api/warriors/img/621,Wolfe Apocalypse of Honor
4,Silver Poleaxe,6,Desert Wear,Rune of Sun,66 percent,Blue Shift,Blue,Bruiser,Woodland Wolverine,Water Elemental Shield,622,11,https://portal.forgottenrunes.com/api/warriors/img/622,Harley Paragon of the Valley
3,Ishtar Sword,6,Purple Hedge Knight Armor,Rune of Saturn,50 percent,Medieval,Red,Meriotic Warrior,Spectacled Falcon,Tanker Heater Shield,623,11,https://portal.forgottenrunes.com/api/warriors/img/623,Keyon Attacker of Mount Titan
4,Sword of Babylon,6,Banded Armor of Earth,Rune of Mercury,66 percent,Rugged,Blue,Highlander,Hamadryas Baboon,Yellow Kite,624,11,https://portal.forgottenrunes.com/api/warriors/img/624,Homer Bifurcator of Light
4,Gladius,6,Yellow Knight,Rune of Fire,66 percent,Armor,Black,Autumn Warrior,Spectacled Falcon,Brown Kite,625,11,https://portal.forgottenrunes.com/api/warriors/img/625,Judy Doom of the Road
3,Shortbow,5,Armor of Earth,Rune of Jupiter,60 percent,Verdant,Green,Mescaline Warrior,,Fire Shield,626,10,https://portal.forgottenrunes.com/api/warriors/img/626,Ethan Dispatcher of Monsters
4,Brown Longsword,5,Fur Barbarian,Rune of Venus,80 percent,Muscle,Blue,Scout,,Brown Kite,627,10,https://portal.forgottenrunes.com/api/warriors/img/627,Roddrick Calamity of the Rock
4,Red Bomb,5,Dark Assassin Tunic,Rune of Jupiter,80 percent,Darkness,Black,Forgotten Man,,Shield of the Black Goat,628,10,https://portal.forgottenrunes.com/api/warriors/img/628,Marcus Razer of Blood
3,Bo Staff,5,Northern Barbarian,Rune of Steel,60 percent,Wild,Black,Forgotten Lady,,Brown Kite,629,10,https://portal.forgottenrunes.com/api/warriors/img/629,Alex Eliminator of the Duck Alliance
